the C tier against the bar, on the value model crates/ply-codegen emits; quiet machine
compiler Apple clang version 17.0.0 (clang-1700.4.4.1)
load 1.68 2.04 2.98
block 1 bar 0.000078
block 1 ply 0.000119
block 1 ply-dps 0.000115
block 2 ply 0.000113
block 2 ply-dps 0.000106
block 2 bar 0.000071
block 3 ply-dps 0.000105
block 3 bar 0.000071
block 3 ply 0.000104
digest 68d647e619a930e7b1082f74f334b0c65a315725569bdc123f0ee11881717bfe
block 1 bar 0.000068
block 1 ply 0.000101
block 1 ply-dps 0.000098
block 2 ply 0.000099
block 2 ply-dps 0.000095
block 2 bar 0.000065
block 3 ply-dps 0.000094
block 3 bar 0.000064
block 3 ply 0.000096
digest 68d647e619a930e7b1082f74f334b0c65a315725569bdc123f0ee11881717bfe
block 1 bar 0.000063
block 1 ply 0.000096
block 1 ply-dps 0.000093
block 2 ply 0.000096
block 2 ply-dps 0.000086
block 2 bar 0.000058
block 3 ply-dps 0.000086
block 3 bar 0.000058
block 3 ply 0.000089
digest 68d647e619a930e7b1082f74f334b0c65a315725569bdc123f0ee11881717bfe
